customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,age_group
1,55,Male,Blouse,Clothing,59,Kentucky,L,Gray,Winter,3.3,Yes,Express,Yes,Yes,15,Venmo,Fortnightly,Young Adult
2,19,Male,Sweater,Clothing,69,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,Middle-aged
3,50,Male,Jeans,Clothing,77,Massachusetts,S,Maroon,Spring,3.3,Yes,Free Shipping,Yes,Yes,24,Credit Card,Weekly,Middle-aged
4,21,Male,Sandals,Footwear,99,Rhode Island,M,Maroon,Spring,3.8,Yes,Next Day Air,Yes,Yes,56,PayPal,Weekly,Adult
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.9,Yes,Free Shipping,Yes,Yes,34,PayPal,Annually,Young Adult
6,46,Male,Sneakers,Footwear,19,Wyoming,M,White,Summer,3.2,Yes,Standard,Yes,Yes,18,Venmo,Weekly,Senior
7,63,Male,Shirt,Clothing,95,Montana,M,Gray,Fall,3.3,Yes,Free Shipping,Yes,Yes,55,Cash,Quarterly,Senior
8,27,Male,Shorts,Clothing,38,Louisiana,L,Charcoal,Winter,3.5,Yes,Free Shipping,Yes,Yes,22,Credit Card,Weekly,Senior
9,26,Male,Coat,Outerwear,93,West Virginia,L,Silver,Summer,2.7,Yes,Express,Yes,Yes,8,Venmo,Annually,Middle-aged
10,57,Male,Handbag,Accessories,32,Missouri,M,Pink,Spring,5,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,Young Adult
11,53,Male,Shoes,Footwear,35,Arkansas,L,Purple,Fall,4.3,Yes,Store Pickup,Yes,Yes,29,Bank Transfer,Bi-Weekly,Senior
12,30,Male,Shorts,Clothing,72,Hawaii,S,Olive,Winter,5,Yes,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly,Young Adult
13,61,Male,Coat,Outerwear,79,Delaware,M,Gold,Winter,4.6,Yes,Express,Yes,Yes,36,Venmo,Fortnightly,Senior
14,65,Male,Dress,Clothing,47,New Hampshire,M,Violet,Spring,5,Yes,Express,Yes,Yes,39,PayPal,Weekly,Senior
15,64,Male,Coat,Outerwear,52,New York,L,Teal,Winter,4.9,Yes,Free Shipping,Yes,Yes,38,Debit Card,Weekly,Adult
16,64,Male,Skirt,Clothing,85,Rhode Island,M,Teal,Winter,2.9,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,Young Adult
17,25,Male,Sunglasses,Accessories,35,Alabama,S,Gray,Spring,4.5,Yes,Next Day Air,Yes,Yes,40,Debit Card,Bi-Weekly,Middle-aged
18,53,Male,Dress,Clothing,42,Mississippi,XL,Lavender,Winter,5,Yes,2-Day Shipping,Yes,Yes,35,Venmo,Quarterly,Senior
19,52,Male,Sweater,Clothing,45,Montana,S,Black,Summer,5,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,Young Adult
20,66,Male,Pants,Clothing,82,Rhode Island,M,Green,Summer,3.5,Yes,Standard,Yes,Yes,54,Debit Card,Bi-Weekly,Middle-aged
21,21,Male,Pants,Clothing,59,Louisiana,M,Black,Winter,3,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,Senior
22,31,Male,Pants,Clothing,66,North Carolina,M,Charcoal,Winter,4.5,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,Middle-aged
23,56,Male,Pants,Clothing,36,California,M,Peach,Summer,3.4,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,Young Adult
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.7,Yes,Express,Yes,Yes,50,Credit Card,Weekly,Middle-aged
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,3,Yes,Store Pickup,Yes,Yes,20,Debit Card,Weekly,Adult
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.8,Yes,Express,Yes,Yes,14,PayPal,Annually,Senior
27,38,Male,Jewelry,Accessories,19,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,12,Credit Card,Annually,Young Adult
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,Adult
29,54,Male,Handbag,Accessories,95,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,44,PayPal,Every 3 Months,Senior
30,31,Male,Dress,Clothing,49,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,15,Credit Card,Weekly,Young Adult
31,57,Male,Jewelry,Accessories,32,North Carolina,L,Black,Winter,5,Yes,Standard,Yes,Yes,17,Credit Card,Monthly,Senior
32,33,Male,Dress,Clothing,93,West Virginia,L,Brown,Winter,4.8,Yes,Store Pickup,Yes,Yes,49,Venmo,Monthly,Middle-aged
33,36,Male,Jacket,Outerwear,66,Kansas,M,Silver,Summer,5,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,Adult
34,54,Male,Pants,Clothing,35,Colorado,L,Green,Summer,3.6,Yes,Store Pickup,Yes,Yes,39,Cash,Quarterly,Young Adult
35,36,Male,T-shirt,Clothing,97,North Dakota,L,Violet,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,41,PayPal,Quarterly,Senior
